Mod:Item:MetaData, Localized Name
minecraft:stone, 石头
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:flowing_water, 水
minecraft:water, 水
minecraft:flowing_lava, 岩浆
minecraft:lava, 岩浆
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge, 海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 沙石
minecraft:sandstone:1, 錾制沙石
minecraft:sandstone:2, 平滑沙石
minecraft:noteblock, 音符盒
minecraft:golden_rail, 动力铁轨
minecraft:detector_rail, 探测铁轨
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
minecraft:wool:0, 羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罂粟
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 沙石台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:fire, 火
minecraft:mob_spawner:0, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 箱子
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:lit_furnace, 熔炉
minecraft:ladder, 梯子
minecraft:rail, 铁轨
minecraft:stone_stairs, 石楼梯
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 压力板
minecraft:wooden_pressure_plate, 压力板
minecraft:redstone_ore, 红石矿石
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer:0, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
minecraft:jukebox, 唱片机
minecraft:fence, 栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 萤石
minecraft:portal, 传送门
minecraft:lit_pumpkin, 南瓜灯
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖块
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal, 末地传送门
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:cocoa, 可可果
minecraft:sandstone_stairs, 沙石楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
minecraft:carrots, 胡萝卜
minecraft:potatoes, 马铃薯
minecraft:wooden_button, 按钮
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate, 测重压力板 (重质)
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活铁轨
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色染色粘土
minecraft:stained_hardened_clay:1, 橙色染色粘土
minecraft:stained_hardened_clay:2, 品红色染色粘土
minecraft:stained_hardened_clay:3, 淡蓝色染色粘土
minecraft:stained_hardened_clay:4, 黄色染色粘土
minecraft:stained_hardened_clay:5, 黄绿色染色粘土
minecraft:stained_hardened_clay:6, 粉色染色粘土
minecraft:stained_hardened_clay:7, 灰色染色粘土
minecraft:stained_hardened_clay:8, 淡灰色染色粘土
minecraft:stained_hardened_clay:9, 青色染色粘土
minecraft:stained_hardened_clay:10, 紫色染色粘土
minecraft:stained_hardened_clay:11, 蓝色染色粘土
minecraft:stained_hardened_clay:12, 棕色染色粘土
minecraft:stained_hardened_clay:13, 绿色染色粘土
minecraft:stained_hardened_clay:14, 红色染色粘土
minecraft:stained_hardened_clay:15, 黑色染色粘土
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
ThermalFoundation:Ore:0, 铜矿石
ThermalFoundation:Ore:1, 锡矿石
ThermalFoundation:Ore:2, 银矿石
ThermalFoundation:Ore:3, 铅矿石
ThermalFoundation:Ore:4, 镍矿石
ThermalFoundation:Ore:5, 铂矿石
ThermalFoundation:Ore:6, 蕴魔秘银矿
ThermalFoundation:Storage:0, 铜块
ThermalFoundation:Storage:1, 锡块
ThermalFoundation:Storage:2, 银块
ThermalFoundation:Storage:3, 铅块
ThermalFoundation:Storage:4, 镍块
ThermalFoundation:Storage:5, 铂块
ThermalFoundation:Storage:6, 蕴魔秘银块
ThermalFoundation:Storage:7, 琥珀金块
ThermalFoundation:Storage:8, 因瓦合金块
ThermalFoundation:Storage:9, 青铜块
ThermalFoundation:Storage:10, 信素块
ThermalFoundation:Storage:11, 流明块
ThermalFoundation:Storage:12, 末影块
ThermalFoundation:FluidRedstone, 熔融红石
ThermalFoundation:FluidGlowstone, 充能液态荧石
ThermalFoundation:FluidEnder, 谐振熔融末影珍珠
minecraft:hay_block, 干草块
minecraft:carpet:0, 地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 硬化粘土
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
ThermalFoundation:FluidPyrotheum, 烈焰之炽焱
ThermalFoundation:FluidCryotheum, 极寒之凛冰
ThermalFoundation:FluidAerotheum, 和谐之空气
ThermalFoundation:FluidPetrotheum, 构造之地岩
ThermalFoundation:FluidMana, 元始魔力
ThermalFoundation:FluidSteam, 蒸汽
ThermalFoundation:FluidCoal, 液态煤炭
ImmersiveEngineering:ore:0, 铜矿石
ImmersiveEngineering:ore:1, 铝土矿石
ImmersiveEngineering:ore:2, 铅矿石
ImmersiveEngineering:ore:3, 银矿石
ImmersiveEngineering:ore:4, 镍矿石
ImmersiveEngineering:storage:0, 铜块
ImmersiveEngineering:storage:1, 铝块
ImmersiveEngineering:storage:2, 铅块
ImmersiveEngineering:storage:3, 银块
ImmersiveEngineering:storage:4, 镍块
ImmersiveEngineering:storage:5, 康铜块
ImmersiveEngineering:storage:6, 琥珀金块
ImmersiveEngineering:storage:7, 钢块
ImmersiveEngineering:storage:8, 铜线圈
ImmersiveEngineering:storage:9, 琥珀金线圈
ImmersiveEngineering:storage:10, 高压线圈
ImmersiveEngineering:storageSlab:0, 铜台阶
ImmersiveEngineering:storageSlab:1, 铝台阶
ImmersiveEngineering:storageSlab:2, 铅台阶
ImmersiveEngineering:storageSlab:3, 银台阶
ImmersiveEngineering:storageSlab:4, 镍台阶
ImmersiveEngineering:storageSlab:5, 康铜台阶
ImmersiveEngineering:storageSlab:6, 琥珀金台阶
ImmersiveEngineering:storageSlab:7, 钢台阶
ImmersiveEngineering:stoneSlab:0, 麻凝土台阶
ImmersiveEngineering:stoneSlab:1, 混凝土台阶
ImmersiveEngineering:stoneSlab:2, 混凝土砖台阶
ImmersiveEngineering:metalDevice:0, 低压接线器
ImmersiveEngineering:metalDevice:1, 低压电容器
ImmersiveEngineering:metalDevice:1, 低压电容器
ImmersiveEngineering:metalDevice:2, 中压接线器
ImmersiveEngineering:metalDevice:3, 中压电容器
ImmersiveEngineering:metalDevice:3, 中压电容器
ImmersiveEngineering:metalDevice:4, 变压器
ImmersiveEngineering:metalDevice:5, 高压继电器
ImmersiveEngineering:metalDevice:6, 高压接线器
ImmersiveEngineering:metalDevice:7, 高压电容器
ImmersiveEngineering:metalDevice:7, 高压电容器
ImmersiveEngineering:metalDevice:8, 高压变压器
ImmersiveEngineering:metalDevice:9, 动能发电机
ImmersiveEngineering:metalDevice:10, 热传导发电机
ImmersiveEngineering:metalDevice:11, 传送带
ImmersiveEngineering:metalDevice:12, 外置加热器
ImmersiveEngineering:metalDevice:13, 物品路由器
ImmersiveEngineering:metalDevice:14, 岩芯钻井
ImmersiveEngineering:metalDevice:15, 卸货传送带
ImmersiveEngineering:metalDevice2:0, 断路刀闸
ImmersiveEngineering:metalDevice2:2, 电流互感器
ImmersiveEngineering:metalDevice2:3, 电灯
ImmersiveEngineering:metalDevice2:4, 泛光灯
ImmersiveEngineering:metalDevice2:5, 输液管
ImmersiveEngineering:metalDevice2:6, 液泵
ImmersiveEngineering:metalDevice2:7, 金属桶
ImmersiveEngineering:metalDevice2:8, 创造电容器
ImmersiveEngineering:metalDevice2:9, 红石断路器
ImmersiveEngineering:metalDevice2:10, 充电站
ImmersiveEngineering:metalDevice2:11, 高炉鼓风机
ImmersiveEngineering:metalDecoration:0, 钢栅栏
ImmersiveEngineering:metalDecoration:1, 钢制脚手架
ImmersiveEngineering:metalDecoration:2, 灯
ImmersiveEngineering:metalDecoration:3, 钢制臂架构
ImmersiveEngineering:metalDecoration:4, 散热器模块
ImmersiveEngineering:metalDecoration:5, 重型工程块
ImmersiveEngineering:metalDecoration:6, 发电机模块
ImmersiveEngineering:metalDecoration:7, 轻型工程块
ImmersiveEngineering:metalDecoration:8, 钢制接线器
ImmersiveEngineering:metalDecoration:9, 钢制壁挂支架
ImmersiveEngineering:metalDecoration:10, 金属板方块
ImmersiveEngineering:metalDecoration:11, 钢制脚手架
ImmersiveEngineering:metalDecoration:12, 铝栅栏
ImmersiveEngineering:metalDecoration:13, 铝制脚手架
ImmersiveEngineering:metalDecoration:14, 铝制脚手架
ImmersiveEngineering:metalDecoration:15, 铝制臂架构
ImmersiveEngineering:metalDecoration2:0, 铝板金属块
ImmersiveEngineering:metalDecoration2:1, 铅板金属块
ImmersiveEngineering:metalDecoration2:2, 钢板金属块
ImmersiveEngineering:metalMultiblock:0, 避雷针基座
ImmersiveEngineering:metalMultiblock:2, 工业挤压机
ImmersiveEngineering:metalMultiblock:3, 发酵机
ImmersiveEngineering:woodenDevice:0, 木杆
ImmersiveEngineering:woodenDevice:1, 水车
ImmersiveEngineering:woodenDevice:2, 风车
ImmersiveEngineering:woodenDevice:3, 改良风车
ImmersiveEngineering:woodenDevice:4, 木质储存箱
ImmersiveEngineering:woodenDevice:5, 工程师装配台
ImmersiveEngineering:woodenDevice:6, 木桶
ImmersiveEngineering:woodenDecoration:1, 防腐木栅栏
ImmersiveEngineering:woodenDecoration:2, 防腐木台阶
ImmersiveEngineering:woodenDecoration:4, 防腐木台阶
ImmersiveEngineering:woodenDecoration:5, 防腐木脚手架
ImmersiveEngineering:woodenDecoration:6, 木质壁挂支架
ImmersiveEngineering:treatedWood:0, 防腐木板
ImmersiveEngineering:treatedWood:1, 防腐木板
ImmersiveEngineering:treatedWood:2, 防腐木板
ImmersiveEngineering:woodenStairs, 防腐木楼梯
ImmersiveEngineering:woodenStairs1, 防腐木楼梯
ImmersiveEngineering:woodenStairs2, 防腐木楼梯
ImmersiveEngineering:stoneDevice:4, 绝缘玻璃
ImmersiveEngineering:stoneDecoration:0, 麻凝土
ImmersiveEngineering:stoneDecoration:1, 焦炉砖
ImmersiveEngineering:stoneDecoration:2, 高炉砖
ImmersiveEngineering:stoneDecoration:3, 焦煤块
ImmersiveEngineering:stoneDecoration:4, 混凝土
ImmersiveEngineering:stoneDecoration:5, 混凝土砖
ImmersiveEngineering:stoneDecoration:6, 强化高炉砖
ImmersiveEngineering:concreteStairs, 混凝土楼梯
ImmersiveEngineering:concreteTileStairs, 混凝土砖楼梯
ImmersiveEngineering:hemp, 工业大麻
ImmersiveEngineering:fakeLight, tile.ImmersiveEngineering.fakeLight.name
ImmersiveEngineering:clothDevice, tile.ImmersiveEngineering.clothDevice.name
MineFactoryReloaded:conveyor:16, 传送带
MineFactoryReloaded:conveyor:0, 白色传送带
MineFactoryReloaded:conveyor:1, 橙色传送带
MineFactoryReloaded:conveyor:2, 品红色传送带
MineFactoryReloaded:conveyor:3, 浅蓝色传送带
MineFactoryReloaded:conveyor:4, 黄色传送带
MineFactoryReloaded:conveyor:5, 柠檬色传送带
MineFactoryReloaded:conveyor:6, 粉色传送带
MineFactoryReloaded:conveyor:7, 灰色传送带
MineFactoryReloaded:conveyor:8, 浅灰色传送带
MineFactoryReloaded:conveyor:9, 青色传送带
MineFactoryReloaded:conveyor:10, 紫色传送带
MineFactoryReloaded:conveyor:11, 蓝色传送带
MineFactoryReloaded:conveyor:12, 棕色传送带
MineFactoryReloaded:conveyor:13, 绿色传送带
MineFactoryReloaded:conveyor:14, 红色传送带
MineFactoryReloaded:conveyor:15, 黑色传送带
MineFactoryReloaded:machineblock:0, 工厂机械块
MineFactoryReloaded:machineblock:1, 可编程红石网络控制器外壳
MineFactoryReloaded:machine.0:0, 播种机
MineFactoryReloaded:machine.0:1, 钓鱼机
MineFactoryReloaded:machine.0:2, 收割机
MineFactoryReloaded:machine.0:3, 放牧机
MineFactoryReloaded:machine.0:4, 施肥机
MineFactoryReloaded:machine.0:5, 兽医站
MineFactoryReloaded:machine.0:6, 物品收集站
MineFactoryReloaded:machine.0:7, 方块破坏机
MineFactoryReloaded:machine.0:8, 雨雪收集器
MineFactoryReloaded:machine.0:9, 污泥处理机
MineFactoryReloaded:machine.0:10, 排污器
MineFactoryReloaded:machine.0:11, 堆肥器
MineFactoryReloaded:machine.0:12, 饲育器
MineFactoryReloaded:machine.0:13, 屠宰机
MineFactoryReloaded:machine.0:14, 自动附魔台
MineFactoryReloaded:machine.0:15, 幼崽分管机
MineFactoryReloaded:machine.1:0, 弹射器
MineFactoryReloaded:machine.1:1, 物品路由机
MineFactoryReloaded:machine.1:2, 液体路由机
MineFactoryReloaded:machine.1:3, 异次元储存器
MineFactoryReloaded:machine.1:4, 液体加工机
MineFactoryReloaded:machine.1:5, 岩浆制造机
MineFactoryReloaded:machine.1:6, 蒸汽锅炉
MineFactoryReloaded:machine.1:7, 自动音乐盒
MineFactoryReloaded:machine.1:8, 统一化机器(转化通用矿石)
MineFactoryReloaded:machine.1:9, 自动刷怪机
MineFactoryReloaded:machine.1:10, 生物质炉
MineFactoryReloaded:machine.1:11, 生物燃油发电机
MineFactoryReloaded:machine.1:12, 自动祛魔台
MineFactoryReloaded:machine.1:13, 屠宰场
MineFactoryReloaded:machine.1:14, 肉块打包机
MineFactoryReloaded:machine.1:15, 附魔路由器
MineFactoryReloaded:machine.2:0, 镭射钻
MineFactoryReloaded:machine.2:1, 镭射钻充能台
